"message.id","sender.id","receiver.id","time","type","weight"
0,1,1,910930019,"is.senior",1
0,2,2,910930019,"is.senior",1
0,7,7,910930019,"is.senior",1
0,8,8,910930019,"is.senior",1
0,9,9,910930019,"is.senior",1
0,10,10,910930019,"is.senior",1
0,11,11,910930019,"is.senior",1
0,17,17,910930019,"is.senior",1
0,18,18,910930019,"is.senior",1
0,20,20,910930019,"is.senior",1
0,24,24,910930019,"is.senior",1
0,25,25,910930019,"is.senior",1
0,30,30,910930019,"is.senior",1
0,31,31,910930019,"is.senior",1
0,33,33,910930019,"is.senior",1
0,34,34,910930019,"is.senior",1
0,40,40,910930019,"is.senior",1
0,43,43,910930019,"is.senior",1
0,45,45,910930019,"is.senior",1
0,46,46,910930019,"is.senior",1
0,47,47,910930019,"is.senior",1
0,48,48,910930019,"is.senior",1
0,50,50,910930019,"is.senior",1
0,53,53,910930019,"is.senior",1
0,54,54,910930019,"is.senior",1
0,55,55,910930019,"is.senior",1
0,56,56,910930019,"is.senior",1
0,57,57,910930019,"is.senior",1
0,60,60,910930019,"is.senior",1
0,61,61,910930019,"is.senior",1
0,65,65,910930019,"is.senior",1
0,67,67,910930019,"is.senior",1
0,68,68,910930019,"is.senior",1
0,70,70,910930019,"is.senior",1
0,72,72,910930019,"is.senior",1
0,75,75,910930019,"is.senior",1
0,76,76,910930019,"is.senior",1
0,77,77,910930019,"is.senior",1
0,78,78,910930019,"is.senior",1
0,79,79,910930019,"is.senior",1
0,80,80,910930019,"is.senior",1
0,81,81,910930019,"is.senior",1
0,82,82,910930019,"is.senior",1
0,83,83,910930019,"is.senior",1
0,84,84,910930019,"is.senior",1
0,88,88,910930019,"is.senior",1
0,89,89,910930019,"is.senior",1
0,90,90,910930019,"is.senior",1
0,98,98,910930019,"is.senior",1
0,104,104,910930019,"is.senior",1
0,109,109,910930019,"is.senior",1
0,113,113,910930019,"is.senior",1
0,114,114,910930019,"is.senior",1
0,121,121,910930019,"is.senior",1
0,122,122,910930019,"is.senior",1
0,123,123,910930019,"is.senior",1
0,124,124,910930019,"is.senior",1
0,128,128,910930019,"is.senior",1
0,130,130,910930019,"is.senior",1
0,131,131,910930019,"is.senior",1
0,134,134,910930019,"is.senior",1
0,135,135,910930019,"is.senior",1
0,136,136,910930019,"is.senior",1
0,138,138,910930019,"is.senior",1
0,140,140,910930019,"is.senior",1
0,143,143,910930019,"is.senior",1
0,145,145,910930019,"is.senior",1
0,147,147,910930019,"is.senior",1
0,148,148,910930019,"is.senior",1
0,149,149,910930019,"is.senior",1
0,153,153,910930019,"is.senior",1
0,154,154,910930019,"is.senior",1
0,155,155,910930019,"is.senior",1
0,156,156,910930019,"is.senior",1
0,1,1,910930019,"department",2
0,2,2,910930019,"department",2
0,3,3,910930019,"department",2
